	zld_2011_seq	dl_2015_seq	dl_2009_chip	twi_2011_seq	twi_2014_chip	twi_1_2009_chip	twi_2_2009_chip	sna_2014_chip	sna_1_2009_chip	sna_2_2009_chip	bcd_2013_seq	bcd_1_2009_chip	bcd_2_2009_chip	cad_2010_seq	cad_2009_chip	hb_2013_seq	hb_1_2009_chip	hb_2_2009_chip	gt_2013_seq	gt_2009_chip	Kr_2013_seq	kni_2010_seq	hry_1_2009_chip	hry_2_2009_chip
zld_2011_seq	100	33.8616057937	23.0792040537	8.1776193615	20.4145943123	25.0450324006	25.2841896981	22.194400723	13.6185854394	25.837019475	21.040497974	6.246435731	9.1240654262	39.3181563651	22.1837135436	20.6926288622	9.1787179353	12.4241225035	22.6525460701	12.9993405834	32.8891379669	0.0507792099	13.4912446229	18.5507921575
dl_2015_seq	33.8616057937	98.9658608168	9.2093113588	14.3137715816	16.737127346	17.3029114011	16.3657310674	11.1491504476	29.8608801393	28.6696423912	16.241578551	6.6148084254	9.991609491	20.2484392296	16.7254470154	2.8071684695	1.0738729025	-3.1135014666	11.5690791327	5.8967877513	16.723562734	1.0971319455	0.1218291072	6.4522786612
dl_2009_chip	23.0792040537	9.2093113588	100	10.7640556867	23.8642306511	34.2884626085	35.369958086	21.7708682588	30.2910983852	34.6175495918	27.3823685125	16.2917576948	18.6597406542	39.7140795475	21.1614918605	27.7064018443	26.9576277449	20.5215588078	20.8550945529	16.3299327291	28.1776342572	7.368974326	7.9426771742	25.4211158586
twi_2011_seq	8.1776193615	14.3137715816	10.7640556867	100	25.7695407323	33.4482184148	32.5063086371	16.1860321445	19.8346606977	16.660584574	-0.897266166	-5.8567098581	-9.0719141912	13.1396354465	0.308352717	6.2264850271	4.2782045191	4.1877052234	13.2016901373	1.0630431824	11.1226397593	-2.5265958554	4.4949272008	12.1722361752
twi_2014_chip	20.4145943123	16.737127346	23.8642306511	25.7695407323	100	41.9357778291	42.6508930611	33.7624440603	18.4122522066	24.2689907987	19.6020071506	4.779533009	7.4886514334	25.4588146975	14.9908964802	14.6259587247	10.3318362416	8.9336354346	25.7793741474	10.1984968954	28.4170583868	12.0663182367	8.5437689152	15.8004484251
twi_1_2009_chip	25.0450324006	17.3029114011	34.2884626085	33.4482184148	41.9357778291	100	95.3580435999	32.3927603342	42.6451266612	38.1933301908	22.0938954271	9.0195548247	14.9847285597	43.6205468511	29.2631008988	19.9603060871	18.3026648506	14.9628169821	25.7441734074	21.8041105624	32.5035417396	8.1312416401	20.9326807539	31.881469442
twi_2_2009_chip	25.2841896981	16.3657310674	35.369958086	32.5063086371	42.6508930611	95.3580435999	100	33.0232409615	46.6626044911	41.3133624725	23.2717809426	11.0589256846	17.0193784994	44.019715674	30.0233677687	20.1001230806	18.3399427725	16.6463389468	26.8462448524	20.8328299877	31.907220276	8.2959950095	22.3474038383	33.867569428
sna_2014_chip	22.194400723	11.1491504476	21.7708682588	16.1860321445	33.7624440603	32.3927603342	33.0232409615	100	5.9740093173	25.1724645273	24.3095101194	6.6795214608	9.9825271231	26.6051195746	17.9019207344	19.1222586599	12.2116305506	10.9829896073	27.8185728699	17.6697895716	31.2209149689	6.8672449719	13.2127507504	16.1255786862
sna_1_2009_chip	13.6185854394	29.8608801393	30.2910983852	19.8346606977	18.4122522066	42.6451266612	46.6626044911	5.9740093173	100	87.6617383363	-0.1955501739	-5.5392011194	-9.9285547226	22.9775044162	9.3937384116	5.4402751141	-1.6775899816	-1.2551065804	6.8289817964	0.952568794	17.6450594793	0.1474489202	4.8335798829	16.4019874759
sna_2_2009_chip	25.837019475	28.6696423912	34.6175495918	16.660584574	24.2689907987	38.1933301908	41.3133624725	25.1724645273	87.6617383363	100	18.3467316019	7.1554775561	9.6034869583	32.9077558411	19.4919883306	14.6677126466	7.2578233902	7.3082294964	20.5100007768	18.869983874	30.5000634144	6.1722492178	12.5506701874	23.1778829788
bcd_2013_seq	21.040497974	16.241578551	27.3823685125	-0.897266166	19.6020071506	22.0938954271	23.2717809426	24.3095101194	-0.1955501739	18.3467316019	99.8731370036	61.2889524496	67.4283770567	40.0851236868	33.204898567	26.8775806723	19.9282610996	14.8048721464	42.1595771418	21.8491506014	48.3639635884	21.3097188652	12.4609344437	14.2090215544
bcd_1_2009_chip	6.246435731	6.6148084254	16.2917576948	-5.8567098581	4.779533009	9.0195548247	11.0589256846	6.6795214608	-5.5392011194	7.1554775561	61.2889524496	100	85.7073698524	24.8867772501	32.8895824836	19.6144574516	23.5992201376	16.6769403655	19.7021666814	30.2932682985	36.1620378755	28.0566720328	8.2878305355	5.9989473248
bcd_2_2009_chip	9.1240654262	9.991609491	18.6597406542	-9.0719141912	7.4886514334	14.9847285597	17.0193784994	9.9825271231	-9.9285547226	9.6034869583	67.4283770567	85.7073698524	100	27.9445026959	37.3976238268	22.93210401	30.4043424055	26.8775302704	23.8554076546	29.6463438761	34.5640723663	35.387033239	7.8212857281	7.4552726045
cad_2010_seq	39.3181563651	20.2484392296	39.7140795475	13.1396354465	25.4588146975	43.6205468511	44.019715674	26.6051195746	22.9775044162	32.9077558411	40.0851236868	24.8867772501	27.9445026959	100	65.0738217965	30.6057173725	29.1905727554	24.9767916241	35.7620997098	38.8887038882	49.8960839773	39.5866293015	26.4984653003	36.8726508122
cad_2009_chip	22.1837135436	16.7254470154	21.1614918605	0.308352717	14.9908964802	29.2631008988	30.0233677687	17.9019207344	9.3937384116	19.4919883306	33.204898567	32.8895824836	37.3976238268	65.0738217965	100	23.9367202366	27.3182324842	24.4734936053	28.9495456024	42.3611656345	40.4426665816	40.7669208605	21.352722582	22.3550697175
hb_2013_seq	20.6926288622	2.8071684695	27.7064018443	6.2264850271	14.6259587247	19.9603060871	20.1001230806	19.1222586599	5.4402751141	14.6677126466	26.8775806723	19.6144574516	22.93210401	30.6057173725	23.9367202366	99.6748061542	57.5562647325	63.9671611224	32.9691346852	17.4338685618	35.9756912307	29.6041054886	13.7325272791	16.0700657953
hb_1_2009_chip	9.1787179353	1.0738729025	26.9576277449	4.2782045191	10.3318362416	18.3026648506	18.3399427725	12.2116305506	-1.6775899816	7.2578233902	19.9282610996	23.5992201376	30.4043424055	29.1905727554	27.3182324842	57.5562647325	100	83.13955787	15.406762212	18.8582783229	22.1884136934	33.6595457225	7.6097887396	14.3578020704
hb_2_2009_chip	12.4241225035	-3.1135014666	20.5215588078	4.1877052234	8.9336354346	14.9628169821	16.6463389468	10.9829896073	-1.2551065804	7.3082294964	14.8048721464	16.6769403655	26.8775302704	24.9767916241	24.4734936053	63.9671611224	83.13955787	100	10.8996902149	17.9111350436	22.3629682874	33.6161271885	9.4488666741	11.5621816018
gt_2013_seq	22.6525460701	11.5690791327	20.8550945529	13.2016901373	25.7793741474	25.7441734074	26.8462448524	27.8185728699	6.8289817964	20.5100007768	42.1595771418	19.7021666814	23.8554076546	35.7620997098	28.9495456024	32.9691346852	15.406762212	10.8996902149	99.7993432652	51.6755217025	52.0312510871	30.0783721253	17.2838622277	16.6118058303
gt_2009_chip	12.9993405834	5.8967877513	16.3299327291	1.0630431824	10.1984968954	21.8041105624	20.8328299877	17.6697895716	0.952568794	18.869983874	21.8491506014	30.2932682985	29.6463438761	38.8887038882	42.3611656345	17.4338685618	18.8582783229	17.9111350436	51.6755217025	100	40.4314100384	38.8086985669	16.1312614814	16.3623274752
Kr_2013_seq	32.8891379669	16.723562734	28.1776342572	11.1226397593	28.4170583868	32.5035417396	31.907220276	31.2209149689	17.6450594793	30.5000634144	48.3639635884	36.1620378755	34.5640723663	49.8960839773	40.4426665816	35.9756912307	22.1884136934	22.3629682874	52.0312510871	40.4314100384	99.880625344	37.8252303733	22.4677418845	23.5864113385
kni_2010_seq	0.0507792099	1.0971319455	7.368974326	-2.5265958554	12.0663182367	8.1312416401	8.2959950095	6.8672449719	0.1474489202	6.1722492178	21.3097188652	28.0566720328	35.387033239	39.5866293015	40.7669208605	29.6041054886	33.6595457225	33.6161271885	30.0783721253	38.8086985669	37.8252303733	100	13.4248526357	15.0779631753
hry_1_2009_chip	13.4912446229	0.1218291072	7.9426771742	4.4949272008	8.5437689152	20.9326807539	22.3474038383	13.2127507504	4.8335798829	12.5506701874	12.4609344437	8.2878305355	7.8212857281	26.4984653003	21.352722582	13.7325272791	7.6097887396	9.4488666741	17.2838622277	16.1312614814	22.4677418845	13.4248526357	100	86.2159803021
hry_2_2009_chip	18.5507921575	6.4522786612	25.4211158586	12.1722361752	15.8004484251	31.881469442	33.867569428	16.1255786862	16.4019874759	23.1778829788	14.2090215544	5.9989473248	7.4552726045	36.8726508122	22.3550697175	16.0700657953	14.3578020704	11.5621816018	16.6118058303	16.3623274752	23.5864113385	15.0779631753	86.2159803021	100
