enhancer	status	AP	DV	A	C	P	Ectoderm	Endoderm	Mesoderm	Zelda180	Eisen2010_Caudal	Eisen2010_Knirps	Eisen2013_Giant	Eisen2013_Hunchback	Eisen2013_Bicoid	Eisen2013_Kruppel	Furlong_Snail	Furlong_Twist	KK_H3K27ac	KK_H3K4me1	MacArthur_Bicoid	MacArthur_Caudal	MacArthur_Giant	MacArthur_Hunchback	MacArthur_Hairy	MacArthur_Snail	MacArthur_Twist	MacArthur_Dorsal	Rushlow_Dorsal	White_H3K27ac	Zeitlinger1_Twist
Kvon2014_chr2L_10388040_10390080	on	ACP	Ectoderm/Endoderm/Mesoderm	on	on	on	on	on	on	77.8	0	0	0	0	0	0	1.86	2.631341288	438	0	0	1.6358880997	0	0	0	0	1.739431745	3.265729651	146.41	1	0
Kvon2014_chr2L_12079283_12081369	on	CP	Ectoderm/Mesoderm	off	on	on	on	off	on	3469.6	26.11	8.41	1.351	1.1125	1.986	1.1125	12	10.638272164	0	202	4.7432594299	3.7508411407	2.9154040813	2.4516644478	5.0786762237	1.980631768	3.810238093	8.792975181	0	0	259.8697
Kvon2014_chr2L_12080941_12083149	on	A	Ectoderm/Endoderm/Mesoderm	on	off	off	on	on	on	3565.1	26.11	8.41	1.351	1.1125	2.051	1.1125	11.1	4.638272164	0	421	4.7432594299	3.7508411407	2.9154040813	2.4516644478	5.0786762237	1.980631768	3.810238093	8.792975181	0	0	236.2787
Kvon2014_chr2L_12084893_12085799	on	ACP	Ectoderm/Mesoderm	on	on	on	on	off	on	3775.7	8.52	0	0.149	0	0	0	1.44	4.886056648	0	323	0	3.1817517281	0	0	5.0786762237	0.629879951	3.810238093	7.442223364	0	0	292.6261
Kvon2014_chr2L_12088676_12090844	on	A	Ectoderm/Mesoderm	on	off	off	on	off	on	764.3	27.26	0	0.735	1.6205	1.926	1.6205	5.7	0	0	0	2.6955213547	3.1817517281	2.3976783752	3.8928198814	2.1964769364	0.733048588	3.810238093	7.545392001	147.69	0	64.48876
Kvon2014_chr2L_12487632_12489761	on	A	Mesoderm	on	off	off	off	off	on	0	0	0	0	0	0	0	1.32	0	0	0	0	0	0	0	0.9799370766	0	1.767967097	1.767967097	0	0	1.79949
Kvon2014_chr2L_12606738_12608834	on	C	Ectoderm/Mesoderm	off	on	off	on	off	on	767.1	9.05	0	1.761	0.803	0	0.803	6	0.814752574	0	0	0	1.4777686596	2.4841609001	0.9402160645	0.83689785	0.629398262	2.894097417	4.229528178	0	1	0
Kvon2014_chr2L_12614109_12616353	on	CP	Ectoderm/Mesoderm	off	on	on	on	off	on	1675	21.48	7.81	0.326	3.086	0	3.086	5.1	3.645891561	0	0	0	3.7118544579	2.4693932533	3.6302905082	1.0096135139	0	3.183051705	5.499505843	118.295	2	18.6384
Kvon2014_chr2L_12615601_12617849	on	CP	Ectoderm/Mesoderm	off	on	on	on	off	on	1508.6	25.16	7.81	0.446	1.2805	0	1.2805	5.1	1.22933205	0	0	0	3.7118544579	2.4693932533	3.6302905082	1.0096135139	0	4.866450206	7.182904344	118.295	2	18.6384
Kvon2014_chr2L_12665181_12667293	on	A	Endoderm	on	off	off	off	on	off	1158.5	11.03	3.73	1.423	0.3135	1.254	0.3135	6	5.096910013	0	284	1.9985728264	1.6999077797	2.2713150978	0.8671770096	2.5896019935	2.014200927	4.059187293	7.441187383	0	2	90.84
Kvon2014_chr2L_12669220_12671417	on	A	Endoderm	on	off	off	off	on	off	819.8	9.75	0	0	0	0	0	2.07	0	0	0	0	0	2.4712381363	2.074710846	2.8538379669	0.564030788	2.354524076	3.93121805	0	0	0
Kvon2014_chr2L_12678950_12681044	on	C	Ectoderm/Mesoderm	off	on	off	on	off	on	1394.6	14.25	3.35	1.007	2.8975	0	2.8975	6	6	0	291	0	2.3507757187	2.0096259117	4.7475485802	3.9625964165	0.767221563	3.743391654	7.515943239	0	0	185.2425
Kvon2014_chr2L_13461810_13463910	on	CP	Ectoderm/Endoderm	off	on	on	on	on	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.603879015	0.603879015	0	0	0
Kvon2014_chr2L_14440355_14442469	on	A	Endoderm	on	off	off	off	on	off	94.4	35.99	8.79	0	0	0	0	6	5.195102067	0	0	0	3.9734358788	3.1967859268	1.3427553177	4.3859033584	0	6.641803056	8.674594551	115.48	1	118.27766
Kvon2014_chr2L_14476156_14478269	on	A	Ectoderm	on	off	off	on	off	off	91	0	0	0	0	0	0	0.96	0.379103294	0	0	0	0	0	0	0	0	2.372211138	3.006585369	0	0	0
Kvon2014_chr2L_14485084_14487223	on	CP	Ectoderm/Mesoderm	off	on	on	on	off	on	1111.6	27.84	4.77	1.185	3.09	0	3.09	12	6	0	362	0	3.5692324638	2.5221834183	5.9046945572	2.4792566299	1.094881114	2.704033908	6.629607117	0	0	254.3113
Kvon2014_chr2L_15331388_15333912	on	ACP	Ectoderm	on	on	on	on	off	off	2049.2	11.76	6.88	1.571	2.9235	1.071	2.9235	6	6	0	287	1.7934751511	2.6683726311	2.3204731941	4.2295546531	4.5431170464	3.111352444	2.629029455	8.550523969	0	1	286.8316
Kvon2014_chr2L_15480181_15482932	on	ACP	Mesoderm	on	on	on	off	off	on	2584.6	23.03	4.39	1.538	1.943	0.828	1.943	12	11.397940009	0	606	2.4068827629	2.6142411232	2.472032547	5.5488591194	0	6.286827052	8.516450977	17.231609643	763.81	1	154.74
Kvon2014_chr2L_16349327_16351503	on	ACP	Ectoderm/Endoderm/Mesoderm	on	on	on	on	on	on	63.5	8.54	0	0	2.2195	0	2.2195	1.28	1.964450197	580	250	0	0	0	3.9269237519	0	0	2.177245528	4.304120508	0	0	86.232
Kvon2014_chr2L_16643412_16645547	on	CP	Ectoderm	off	on	on	on	off	off	143	0	0	0	0	0	0	5.22	4.744727495	0	0	0	0	0	0	0	1.061606705	0.683354974	2.590047777	0	0	0
Kvon2014_chr2L_16836_18924	on	ACP	Ectoderm/Endoderm/Mesoderm	on	on	on	on	on	on	0	0	0	0	0	0	0	0	1.253412502	0	0	0	0	0	0	0	0	0	1.293021048	77.38	0	0
Kvon2014_chr2L_17381424_17383547	on	A	Ectoderm	on	off	off	on	off	off	574.9	9.89	2.85	0	0	0	0	6	6	463	394	0	0	0	0.9921841621	2.4266629219	0.870572847	2.612665485	5.578614711	261.13	1	273.258
Kvon2014_chr2L_17748587_17750842	on	ACP	Mesoderm	on	on	on	off	off	on	948.5	14.56	3.1	0	0.0315	0	0.0315	6	6	0	0	0	2.5979971886	0	0	0	0	9.81289795	12.832457374	150.815	0	432.906
Kvon2014_chr2L_17753976_17756084	on	ACP	Mesoderm	on	on	on	off	off	on	101.3	9.66	0	0	-0.2705	0	-0.2705	6	6	0	0	0	0	0	0	0	0	2.284265686	3.977492332	0	0	211.8831
Kvon2014_chr2L_18031_20238	on	ACP	Ectoderm/Endoderm/Mesoderm	on	on	on	on	on	on	0	0	0	0	0	0	0	0	1.253412502	0	100	0	0	0	0	0	0	0	0.887657859	77.38	0	0
Kvon2014_chr2L_18893565_18895695	on	ACP	Ectoderm	on	on	on	on	off	off	3045.1	18.08	0	2.89	-1.2235	0	-1.2235	6	10.886056648	0	265	1.0297584534	2.3868618011	3.4785351753	0	2.7635149955	0.653808773	2.89931204	5.219256825	0	0	120.4632
Kvon2014_chr2L_1956400_1958532	on	A	Ectoderm	on	off	off	on	off	off	628.7	5.3	3.63	0	0	0	0	5.7	3.772113295	0	0	3.7931571007	0	2.3725743294	3.1258773804	3.081401825	0.656221807	2.620386485	4.71123173	0	0	41.3079
Kvon2014_chr2L_1958014_1960258	on	A	Ectoderm	on	off	off	on	off	off	628.7	5.3	3.63	0	0	0	0	5.7	0	0	0	3.7931571007	0	2.3725743294	3.1258773804	3.081401825	0.656221807	3.577013517	6.638014758	0	0	0
Kvon2014_chr2L_1959777_1961930	on	A	Ectoderm	on	off	off	on	off	off	463.4	3.99	0	0	0	0	0	0	5.698970004	0	0	1.1678161621	0	2.4912486076	2.0069799423	4.3299446106	0	1.737270832	2.707426828	0	0	0
Kvon2014_chr2L_20767347_20768825	on	CP	Ectoderm/Mesoderm	off	on	on	on	off	on	1967.3	32.81	12.03	1.356	3.2495	0.82	3.2495	6	6	0	340	1.9866161346	3.7979521751	3.2058734894	6.8438768386	4.0561094284	1.973175764	4.318878136	9.448730333	245.8	1	81.0118
Kvon2014_chr2L_20967302_20969446	on	P	Endoderm	off	off	on	off	on	off	328.3	5.62	0	0	0	0	0	8.38	5.522878745	0	0	0	0	0	0	0	0	2.313745677	3.612188398	0	1	140.487
Kvon2014_chr2L_2163674_2165773	on	ACP	Ectoderm	on	on	on	on	off	off	6923.7	18.44	5.13	2.039	0.6575	1.196	0.6575	6	6	699	338	2.8209075928	2.7628779411	2.479309082	2.3028867244	2.8816742897	3.221716601	5.367299249	11.356982513	189.065	0	347.032
Kvon2014_chr2L_2180633_2182789	on	A	Ectoderm	on	off	off	on	off	off	242.6	6.47	4.33	0.732	-0.821	0	-0.821	6	10.795880017	0	0	0	0	1.9260697365	0.9164452553	0	0.733337969	2.667411208	5.506885678	0	0	251.6926
Kvon2014_chr2L_21843469_21845803	on	CP	Ectoderm/Mesoderm	off	on	on	on	off	on	139	9.84	0	0	0	0	0	5.52	6	0	0	0	0	0	0	0.7973842621	0	4.480613393	6.787463967	0	0	154.5564
Kvon2014_chr2L_250756_251202	on	ACP	Ectoderm/Endoderm/Mesoderm	on	on	on	on	on	on	0	0	0	0	1.9905	0	1.9905	0	2.994390555	681	0	0	0	0	0	0	0	3.67500322	6.343713564	0	0	0
Kvon2014_chr2L_26520_27246	on	A	Ectoderm/Mesoderm	on	off	off	on	off	on	1346.7	10.54	0	0	2.2765	0	2.2765	5.7	6	672	335	0	2.2931604385	3.0318841934	4.9947314263	2.2874085903	0.98969409	3.76272945	6.710966364	0	0	186.943
Kvon2014_chr2L_2752765_2754884	on	ACP	Ectoderm/Endoderm/Mesoderm	on	on	on	on	on	on	264.9	18.41	3.49	-0.424	1.0665	0	1.0665	7.79	5.522878745	466	391	1.9524536132	1.8757286072	0	2.97174263	3.6002893448	0	3.14846664	5.752418507	0	1	165.73656
Kvon2014_chr2L_3816924_3819029	on	ACP	Ectoderm/Mesoderm	on	on	on	on	off	on	336.4	4.29	0	0.06	1.72	0	1.72	6	5.397940009	0	0	0	0	0	2.7309713363	3.077432394	0.697087596	4.678409583	8.856977104	0	1	465.0514
Kvon2014_chr2L_3827045_3829231	on	A	Ectoderm/Mesoderm	on	off	off	on	off	on	220.8	0	4.47	0.27	0	1.14	0	5.22	4.638272164	0	0	2.2359704971	0	2.0288786888	0	0.9654741287	0	4.678409583	8.159889508	0	0	131.43676
Kvon2014_chr2L_3828414_3830695	on	A	Ectoderm	on	off	off	on	off	off	65.8	0	4.47	0.27	0	1.14	0	0	0	0	0	2.2359704971	0	2.0288786888	0	0.9654741287	0	4.678409583	8.159889508	0	0	0
Kvon2014_chr2L_4280575_4283186	on	CP	Ectoderm	off	on	on	on	off	off	5266.9	17.97	5	0.924	1.029	0.882	1.029	6	6	522	260	1.9505815506	2.585351944	2.0868742466	1.5455446244	2.8837678432	2.664095501	7.004294574	12.21369783	718.36	1	443.2431
Kvon2014_chr2L_5628723_5630872	on	ACP	Ectoderm/Endoderm/Mesoderm	on	on	on	on	on	on	0	3.47	0	0	0	0	0	4.27	0	0	0	0	0	0	0	0	0	4.233810817	4.233810817	0	0	0
Kvon2014_chr2L_598791_601002	on	A	Ectoderm/Mesoderm	on	off	off	on	off	on	458.2	5.29	4.4	0	0	0	0	5.3	0.393664862	0	0	3.5880241394	0	0	2.2326617241	0	0	2.732093304	5.56445621	105.99	0	0
Kvon2014_chr2L_8415707_8417823	on	AC	Ectoderm/Endoderm	on	on	off	on	on	off	1922.1	14.63	0	0.789	0.6465	0.662	0.6465	6	3.829738285	802	215	0.7029881477	1.7833914757	0	1.9056434631	2.9609951973	2.492819399	3.805293262	9.342089389	0	1	379.4668
Kvon2014_chr2L_8788380_8790493	on	C	Ectoderm	off	on	off	on	off	off	434.2	0	0	1.268	1.4685	0	1.4685	0	0	0	0	0	0	1.8804159164	2.2417097091	0	0	1.091460312	1.465743906	0	0	0
Kvon2014_chr2L_8831294_8833463	on	A	Ectoderm	on	off	off	on	off	off	2815.7	16.67	3.89	1.539	2.17	1.618	2.17	6	4.602059991	0	458	3.1266770363	2.7547359467	2.7526283264	2.5482091904	0.8240828514	4.3502365	3.12065276	9.418242861	362.75	1	87.2609
Kvon2014_chr2L_8839795_8842046	on	A	Mesoderm	on	off	off	off	off	on	5177.8	26.27	4.96	1.205	2.1105	1.003	2.1105	6	6	491	267	2.2607588768	2.8272533417	2.3756914139	4.1619017124	1.5043067932	4.55700167	5.755300466	13.383448624	294.35	2	170.974
Kvon2014_chr2L_8841573_8843738	on	AP	Ectoderm/Mesoderm	on	off	on	on	off	on	5290.5	22.1	4.96	0.152	2.1105	1.003	2.1105	11.52	10.013228266	491	267	2.2607588768	2.8272533417	2.3756914139	4.1619017124	1.5043067932	4.55700167	5.755300466	13.383448624	294.35	2	170.974
Kvon2014_chr2L_8843345_8845442	on	A	Mesoderm	on	off	off	off	off	on	177.3	16.44	0	0.822	0	0	0	5.52	4.013228266	0	0	0	3.5525808334	0	4.6953802109	0	1.625494427	5.059636699	9.756277614	131.67	1	24.0504
Kvon2014_chr2L_8848475_8850634	on	ACP	Ectoderm/Mesoderm	on	on	on	on	off	on	206.5	7.75	0	0	0	0	0	6	5.522878745	0	0	0	3.5525808334	0	0	0.9442882538	2.979074029	5.104238398	9.391654705	0	1	394.5261
Kvon2014_chr2L_9581706_9584274	on	A	Mesoderm	on	off	off	off	off	on	541.7	9.23	3.19	2.026	0.2225	1.771	0.2225	7.34	7.698622708	0	0	2.1271533966	0	2.2509641647	1.6255636215	6.6800303458	0	4.644987022	6.711240965	0	1	190.8176
Kvon2014_chr2L_9969903_9972058	on	AC	Ectoderm	on	on	off	on	off	off	71.5	5.08	0	-0.229	1.3275	0.559	1.3275	6	2.294050805	0	0	0	0	0	0.9217214584	0	0.559587479	2.966373834	4.761796753	0	0	0
Kvon2014_chr2R_10060721_10062851	on	ACP	Ectoderm/Endoderm/Mesoderm	on	on	on	on	on	on	225.4	5.47	0	-0.605	-1.1125	0	-1.1125	4.77	0	568	263	0	1.9576129913	0	0	3.1530160904	0	1.819395661	4.265621781	0	0	315.0886
Kvon2014_chr2R_10686988_10689103	on	A	Ectoderm/Mesoderm	on	off	off	on	off	on	632.1	4.58	0	0.281	0.9375	0.62	0.9375	8.57	0.60046126	0	0	0.9347286224	0	0	0	0	0	1.138363272	2.926374038	0	0	21.7384
Kvon2014_chr2R_10921344_10923510	on	CP	Ectoderm	off	on	on	on	off	off	190.5	7.95	0	0.067	-0.1205	0	-0.1205	0	3.283996656	0	0	0	0	0	0	0.960562706	0	1.529488427	2.702165467	0	1	56.172
Kvon2014_chr2R_11016930_11019079	on	ACP	Ectoderm/Mesoderm	on	on	on	on	off	on	5590.2	16.71	0	-0.001	0	0	0	12	10.055517328	510	352	0	2.3595495224	0	3.4024443626	1.9356031417	1.633853183	2.424588372	6.802638119	469.175	0	207.2484
Kvon2014_chr2R_11416053_11418320	on	ACP	Ectoderm/Endoderm/Mesoderm	on	on	on	on	on	on	2002.2	15.75	0	0.565	2.428	0	2.428	6	2.58642064	508	261	0	1.8050765991	1.7165541649	3.896206379	1.8703904152	0.628381521	6.409427482	8.577458788	0	0	185.7058
Kvon2014_chr2R_11417613_11419772	on	ACP	Ectoderm/Endoderm/Mesoderm	on	on	on	on	on	on	2514.2	10.98	0	0.565	2.834	0	2.834	6	1.788399771	508	261	0	1.8050765991	1.7165541649	3.896206379	1.8703904152	0.628381521	4.094262439	6.262293745	168.17	0	113.82965
Kvon2014_chr2R_11488116_11490255	on	P	Endoderm	off	off	on	off	on	off	135	0	0	0	0	0	0	5.43	0	0	0	0	0	0	0	0	0	0	1.00885886	0	0	0
Kvon2014_chr2R_11784916_11787077	on	ACP	Ectoderm	on	on	on	on	off	off	4055.4	19.88	0	2.979	0.037	1.36	0.037	12	11.522878745	609	456	3.1480073929	2.5393829346	4.494202137	2.9310884476	2.7936444283	2.346201165	2.37243344	6.954357726	0	0	330.699
Kvon2014_chr2R_11791820_11794001	on	ACP	Ectoderm	on	on	on	on	off	off	0	5.68	0	-0.042	0	0	0	6	4.080921908	0	0	0	0	0	0	0	0	4.216021714	5.010805932	0	1	0
Kvon2014_chr2R_12671212_12673370	on	ACP	Ectoderm/Endoderm/Mesoderm	on	on	on	on	on	on	2145.8	10.25	0	0	0	0	0	6	6	429	292	0	2.3780531883	2.7928557396	2.5786619187	0	0.742144529	3.168698507	5.913572901	0	0	181.4579
Kvon2014_chr2R_12672480_12674566	on	CP	Ectoderm/Endoderm/Mesoderm	off	on	on	on	on	on	2145.8	6.46	0	0	0	0	0	6	6	429	292	0	2.3780531883	2.7928557396	2.5786619187	0	0.742144529	3.168698507	5.913572901	0	0	136.317
Kvon2014_chr2R_13690317_13692404	on	A	Endoderm	on	off	off	off	on	off	3145.2	24.35	3.78	0.819	2.345	0.632	2.345	6	0	576	320	1.559885025	2.8064124584	0	3.7139730454	0.9472472668	5.891897492	1.842031703	11.15798494	0	0	55.2735
Kvon2014_chr2R_13783038_13785137	on	A	Mesoderm	on	off	off	off	off	on	69.2	0	0	0	0	0	0	11.4	6	0	0	0	0	0	0.6473312378	0	0.752679507	2.415951788	3.715189262	0	0	146.306
Kvon2014_chr2R_14961789_14964013	on	A	Mesoderm	on	off	off	off	off	on	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.02968115	2.02968115	0	0	0
Kvon2014_chr2R_16131749_16132929	on	A	Ectoderm/Mesoderm	on	off	off	on	off	on	468.5	3.89	0	0	0	0.716	0	0	0	645	259	0.7613096237	0	0	0	0	0.602301373	0.83984504	2.731477968	0	1	21.7384
Kvon2014_chr2R_16327602_16329798	on	P	Endoderm	off	off	on	off	on	off	0	0	0	0	0	0	0	0.71	0	0	0	0	0	0	0	0	0	0.645542526	0.645542526	0	0	0
Kvon2014_chr2R_16331228_16333297	on	ACP	Ectoderm	on	on	on	on	off	off	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.517675686	0.517675686	0	0	0
Kvon2014_chr2R_16483505_16485613	on	A	Ectoderm/Endoderm/Mesoderm	on	off	off	on	on	on	166.5	0	0	0.608	0	1.717	0	0.58	0	0	254	3.3122763634	0	0	0.8782548904	0	0	3.106847819	5.548667636	131.28	1	0
Kvon2014_chr2R_16485203_16487344	on	A	Ectoderm/Endoderm/Mesoderm	on	off	off	on	on	on	358.7	12.6	0	1.132	0.0425	1.717	0.0425	0.36	7.422289959	622	254	3.3122763634	0	0	0.8782548904	1.5548920631	0	3.106847819	5.548667636	131.28	1	0
Kvon2014_chr2R_16486928_16489009	on	AC	Ectoderm/Endoderm/Mesoderm	on	on	off	on	on	on	3053.7	12.6	0	0.524	0.0425	0.724	0.0425	6	6	622	254	2.416088581	1.8602151871	1.6066660881	0.7123270035	3.177883625	1.375255024	3.106847819	6.92392266	0	1	189.4675
Kvon2014_chr2R_18295742_18296194	on	ACP	Mesoderm	on	on	on	off	off	on	168.8	5.36	0	0.505	0	0	0	6	6	0	0	0	0	0	0	2.7837452889	0	3.648889363	5.519341683	0	1	1377.85
Kvon2014_chr2R_18689548_18691090	on	ACP	Endoderm/Mesoderm	on	on	on	off	on	on	2040	10.49	3.42	0.784	0	1.244	0	5.15	6	607	306	2.0142302513	2.798825264	1.9958758354	5.0908818245	1.1362838745	0	3.775363326	6.511876702	0	0	623.325
Kvon2014_chr2R_18935617_18937915	on	ACP	Mesoderm	on	on	on	off	off	on	176.2	8.54	0	0	1.1515	0	1.1515	6.73	6	0	0	0	2.1424751282	0	2.4002923966	2.1560268402	0	3.157357552	5.599057832	147.735	2	354.366
