dataset	zelda_2011_seq	dl_2015_seq	dl_2009_chip	sna_2014_chip	sna_2009_chip_1	sna_2009_chip_2	twi_2011_seq	twi_2014_chip	twi_2009_chip_1	twi_2009_chip_2	bcd_2013_seq	bcd_2009_chip_1	bcd_2009_chip_2	cad_2010_seq	cad_2009_chip	hb_2013_seq	hb_2009_chip_1	hb_2009_chip_2	gt_2013_seq	gt_2009_chip	Kr_2013_seq	kni_2010_seq	hry_2009_chip_1	hry_2009_chip_2	p300_2010_seq	H3K27ac_2015_seq	H3K27ac_2010_seq	H3K4me1_2015_seq
zelda_2011_seq	99.9893989187	61.2349914237	43.1580072696	35.5868665977	74.5393634841	52.7311674402	30.7325347185	30.4750869061	52.1166791324	48.5772083614	36.9544131911	91.7741935484	89.9004267425	78.2501235788	87.5549968573	44.0144375376	78.7663755459	72.1769499418	47.0896946565	91.4018691589	41.5630885122	98.2213438735	74.0762463343	71.4181018688	46.9214437367	48.167539267	26.8419378777	88.5788113695
dl_2015_seq	61.2349914237	99.9428244711	10.2309172547	10.8841778697	38.6934673367	17.3509460907	44.4825614637	9.6523754345	12.4457741212	11.7060013486	14.0640155189	42.5806451613	39.8293029872	20.8106772121	37.1464487744	12.813314618	32.5327510917	30.9662398137	13.5257633588	37.8504672897	11.1487758945	50.395256917	23.2258064516	22.9388054232	19.593569912	15.8704188482	36.5351629503	30.8010335917
dl_2009_chip	43.1580072696	10.2309172547	99.9893093864	54.7828335057	84.9246231156	69.4394858979	37.1178105623	53.325608343	79.76065819	76.210384356	8.969424845	5.7836219799	6.6067992303	32.6812059012	13.9726320291	29.0250160359	96.7248908297	93.0151338766	23.6262561471	98.2242990654	25.2939918751	4.7893949113	90.4985337243	91.6086478564	21.1994868505	29.2067564678	32.5849903784	17.9602309173
sna_2014_chip	35.5868665977	10.8841778697	54.7828335057	99.987073423	6.6442605998	22.9705274043	28.9943123061	30.4287369641	48.3583247156	50.1938986556	8.0791106515	7.1354705274	8.0791106515	32.4586349535	17.670630817	22.5310237849	17.8516028956	15.550672182	20.2817993795	12.797311272	22.9188210962	7.006204757	15.2145811789	23.0222337125	15.1628748707	18.4979317477	18.8598759049	23.0222337125
sna_2009_chip_1	74.5393634841	38.6934673367	84.9246231156	6.6442605998	99.8324958124	20.207068904	63.4840871022	4.9130938586	7.0456245325	6.7161159811	31.9932998325	34.5058626466	36.3484087102	71.6917922948	55.2763819095	51.9262981575	53.0988274707	45.0586264657	49.9162479062	49.2462311558	53.7688442211	35.6783919598	50.7537688442	71.3567839196	52.4288107203	38.8609715243	33.3333333333	57.4539363484
sna_2009_chip_2	52.7311674402	17.3509460907	69.4394858979	22.9705274043	20.207068904	99.9642984648	41.3066761871	15.6778679027	23.6050860135	23.3175994606	14.9232416994	14.2092109961	15.6372724027	47.3402356301	29.239557301	32.1670831846	28.3470189218	24.1699393074	29.8464833988	23.0988932524	32.8097108176	13.8521956444	26.1335237415	40.6640485541	27.8828989647	27.8114958943	27.525883613	33.3452338451
twi_2011_seq	30.7325347185	44.4825614637	37.1178105623	28.9943123061	63.4840871022	41.3066761871	99.9772675608	30.5098493627	49.5736724009	45.7990559676	28.4675072745	68.5483870968	69.2745376956	58.4033613445	60.2765556254	37.0763986365	58.1877729258	53.434225844	37.4522900763	64.2056074766	33.5781544256	83.9920948617	65.219941349	62.7702455112	40.6733393995	41.2630890052	34.7909264826	63.5658914729
twi_2014_chip	30.4750869061	9.6523754345	53.325608343	30.4287369641	4.9130938586	15.6778679027	30.5098493627	99.976825029	50.1622247972	51.6570104287	7.0451911935	6.2456546929	6.9988412515	30.1274623407	15.5967555041	20.5214368482	16.4426419467	13.8354577057	17.4855156431	10.8574739282	20.1506373117	6.4658169177	13.8702201622	21.4020857474	14.5654692932	21.4020857474	21.1355735805	21.3093858633
twi_2009_chip_1	52.1166791324	12.4457741212	79.76065819	48.3583247156	7.0456245325	23.6050860135	49.5736724009	50.1622247972	99.9850411369	84.8550236008	11.0396409873	7.9880329095	9.2146596859	44.3530291698	20.2094240838	32.9992520568	21.7202692595	19.8055347794	27.8683620045	13.6424831713	30.9349289454	6.9708302169	20.3739715782	30.6955871354	24.0688107704	30.5908750935	30.3814510097	26.0882572924
twi_2009_chip_2	48.5772083614	11.7060013486	76.210384356	50.1938986556	6.7161159811	23.3175994606	45.7990559676	51.6570104287	84.8550236008	99.9865138233	10.3708698584	7.2825354012	8.3479433581	40.5259608901	18.3546864464	30.8293998651	20.0539447067	18.4356035064	26.068779501	12.5151719488	28.9008766015	6.2845583277	18.7592717465	28.7795010115	22.0229265003	28.5232636548	29.2650033715	23.6547538773
bcd_2013_seq	36.9544131911	14.0640155189	8.969424845	8.0791106515	31.9932998325	14.9232416994	28.4675072745	7.0451911935	11.0396409873	10.3708698584	99.9515033948	62.4193548387	59.6017069701	16.3618388532	25.5813953488	12.9536795669	23.9628820961	21.2456344587	15.2910305344	32.7102803738	12.4670433145	50.395256917	19.5894428152	17.5155734701	14.1340612678	11.2238219895	19.0591658584	22.6873385013
bcd_2009_chip_1	89.9004267425	39.8293029872	6.6067992303	8.0791106515	36.3484087102	15.6372724027	69.2745376956	6.9988412515	9.2146596859	8.3479433581	59.6017069701	73.1152204836	99.8577524893	81.7923186344	27.9069767442	58.8904694168	24.672489083	23.9231664726	59.3172119488	39.6261682243	59.6017069701	40.2560455192	21.7008797654	18.1018688164	60.8819345661	44.2389758179	35.8463726885	65.5761024182
bcd_2009_chip_2	91.7741935484	42.5806451613	5.7836219799	7.1354705274	34.5058626466	14.2092109961	68.5483870968	6.2456546929	7.9880329095	7.2825354012	62.4193548387	99.8387096774	73.1152204836	83.2258064516	25.6442489001	58.7096774194	22.5436681223	20.6635622817	60.6451612903	37.476635514	59.0322580645	43.2258064516	19.6480938416	16.0864785636	61.935483871	45.1612903226	35.1612903226	65.8064516129
cad_2010_seq	78.2501235788	20.8106772121	32.6812059012	32.4586349535	71.6917922948	47.3402356301	58.4033613445	30.1274623407	44.3530291698	40.5259608901	16.3618388532	83.2258064516	81.7923186344	99.9752842313	88.4978001257	50.2965892239	76.4192139738	69.9068684517	42.214532872	85.6074766355	46.218487395	97.628458498	71.5542521994	70.428728472	53.7154989384	44.469895288	34.5526445872	80.0516795866
cad_2009_chip	87.5549968573	37.1464487744	13.9726320291	17.670630817	55.2763819095	29.239557301	60.2765556254	15.5967555041	20.2094240838	18.3546864464	25.5813953488	25.6442489001	27.9069767442	88.4978001257	99.9371464488	56.9453174104	51.9650655022	45.983701979	53.5512256442	70.5607476636	56.1910747957	26.9013199246	43.0498533724	38.7687797728	50.2828409805	49.2143306097	37.335009428	66.6247642992
hb_2013_seq	44.0144375376	12.813314618	29.0250160359	22.5310237849	51.9262981575	32.1670831846	37.0763986365	20.5214368482	32.9992520568	30.8293998651	12.9536795669	58.7096774194	58.8904694168	50.2965892239	56.9453174104	99.9799478644	68.2860262009	67.4039580908	34.3894124724	60	36.7043314501	75.8893280632	47.917888563	47.563209967	35.7294510161	38.6780104712	27.2107479447	56.330749354
hb_2009_chip_1	78.7663755459	32.5327510917	96.7248908297	17.8516028956	53.0988274707	28.3470189218	58.1877729258	16.4426419467	21.7202692595	20.0539447067	23.9628820961	22.5436681223	24.672489083	76.4192139738	51.9650655022	68.2860262009	99.9454148472	78.7543655413	46.5611353712	37.0633187773	51.9650655022	23.1441048035	41.642228739	39.7947966288	44.8689956332	47.2161572052	37.9912663755	59.0065502183
hb_2009_chip_2	72.1769499418	30.9662398137	93.0151338766	15.550672182	45.0586264657	24.1699393074	53.434225844	13.8354577057	19.8055347794	18.4356035064	21.2456344587	20.6635622817	23.9231664726	69.9068684517	45.983701979	67.4039580908	78.7543655413	99.9417927823	44.0628637951	35.1571594878	48.0791618161	21.0128055879	36.5395894428	33.8951997069	40.0465657742	42.374854482	36.4959254948	51.5715948778
gt_2013_seq	47.0896946565	13.5257633588	23.6262561471	20.2817993795	49.9162479062	29.8464833988	37.4522900763	17.4855156431	27.8683620045	26.068779501	15.2910305344	60.6451612903	59.3172119488	42.214532872	53.5512256442	34.3894124724	46.5611353712	44.0628637951	99.9761450382	71.9626168224	33.1261770245	76.2845849802	44.2815249267	40.1245877611	27.6311798605	24.9672774869	24.8091603053	48.5271317829
gt_2009_chip	91.4018691589	37.8504672897	98.2242990654	12.797311272	49.2462311558	23.0988932524	64.2056074766	10.8574739282	13.6424831713	12.5151719488	32.7102803738	37.476635514	39.6261682243	85.6074766355	70.5607476636	60	37.0633187773	35.1571594878	71.9626168224	99.9065420561	64.0186915888	36.1682242991	32.082111437	27.7390985709	51.0280373832	41.5887850467	35.4205607477	66.4485981308
Kr_2013_seq	41.5630885122	11.1487758945	25.2939918751	22.9188210962	53.7688442211	32.8097108176	33.5781544256	20.1506373117	30.9349289454	28.9008766015	12.4670433145	59.0322580645	59.6017069701	46.218487395	56.1910747957	36.7043314501	51.9650655022	48.0791618161	33.1261770245	64.0186915888	99.9811676083	77.8656126482	48.8563049853	43.5324294613	32.4537458295	28.1413612565	21.0169491525	51.834625323
kni_2010_seq	98.2213438735	50.395256917	4.7893949113	7.006204757	35.6783919598	13.8521956444	83.9920948617	6.4658169177	6.9708302169	6.2845583277	50.395256917	43.2258064516	40.2560455192	97.628458498	26.9013199246	75.8893280632	23.1441048035	21.0128055879	76.2845849802	36.1682242991	77.8656126482	99.8023715415	21.1143695015	16.4162696959	14.3767060965	6.8390052356	36.9565217391	19.7932816537
hry_2009_chip_1	74.0762463343	23.2258064516	90.4985337243	15.2145811789	50.7537688442	26.1335237415	65.219941349	13.8702201622	20.3739715782	18.7592717465	19.5894428152	19.6480938416	21.7008797654	71.5542521994	43.0498533724	47.917888563	41.642228739	36.5395894428	44.2815249267	32.082111437	48.8563049853	21.1143695015	99.9413489736	54.8552583364	40.7038123167	35.3079178886	29.2668621701	49.2082111437
hry_2009_chip_2	71.4181018688	22.9388054232	91.6086478564	23.0222337125	71.3567839196	40.6640485541	62.7702455112	21.4020857474	30.6955871354	28.7795010115	17.5155734701	16.0864785636	18.1018688164	70.428728472	38.7687797728	47.563209967	39.7947966288	33.8951997069	40.1245877611	27.7390985709	43.5324294613	16.4162696959	54.8552583364	99.9633565409	40.6375961891	40.6742396482	33.0157566874	48.1495053133
p300_2010_seq	46.9214437367	19.593569912	21.1994868505	15.1628748707	52.4288107203	27.8828989647	40.6733393995	14.5654692932	24.0688107704	22.0229265003	14.1340612678	61.935483871	60.8819345661	53.7154989384	50.2828409805	35.7294510161	44.8689956332	40.0465657742	27.6311798605	51.0280373832	32.4537458295	14.3767060965	40.7038123167	40.6375961891	99.9696693964	48.0740066727	36.0024264483	37.7919320594
H3K27ac_2015_seq	48.167539267	15.8704188482	29.2067564678	18.4979317477	38.8609715243	27.8114958943	41.2630890052	21.4020857474	30.5908750935	28.5232636548	11.2238219895	45.1612903226	44.2389758179	44.469895288	49.2143306097	38.6780104712	47.2161572052	42.374854482	24.9672774869	41.5887850467	28.1413612565	6.8390052356	35.3079178886	40.6742396482	48.0740066727	99.9672774869	60.1439790576	52.4031007752
H3K27ac_2010_seq	26.8419378777	36.5351629503	32.5849903784	18.8598759049	33.3333333333	27.525883613	34.7909264826	21.1355735805	30.3814510097	29.2650033715	19.0591658584	35.1612903226	35.8463726885	34.5526445872	37.335009428	27.2107479447	37.9912663755	36.4959254948	24.8091603053	35.4205607477	21.0169491525	36.9565217391	29.2668621701	33.0157566874	36.0024264483	60.1439790576	99.9726701285	44.5994832041
H3K4me1_2015_seq	88.5788113695	30.8010335917	17.9602309173	23.0222337125	57.4539363484	33.3452338451	63.5658914729	21.3093858633	26.0882572924	23.6547538773	22.6873385013	65.8064516129	65.5761024182	80.0516795866	66.6247642992	56.330749354	59.0065502183	51.5715948778	48.5271317829	66.4485981308	51.834625323	19.7932816537	49.2082111437	48.1495053133	37.7919320594	52.4031007752	44.5994832041	99.9483204134
